German,English
stehen,stand
sterben,to die
hätten,had
draußen,outside
kenne,know
fast,nearly
runter,down
vorbei,past
treffen,to meet
gerne,with pleasure
dran,tuned
wurden,were
arbeiten,work
mom,mom
verrückt,insane
neue,new
ging,went
hinter,Behind
sorgen,to care
einzige,single
jemanden,someone
darum,therefore
tochter,daughter
braucht,need
idee,idea
schwester,sister
drin,in it
ruhig,calm
sah,saw
ganzen,all
spät,late
ziemlich,quite
solltest,should
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,search
finde,find
je,ever
woher,from where
lang,long
job,job
keiner,none
seinem,his
hört,hears
verstehen,understand
spielen,play
s.,s.
überhaupt,at all
teufel,devil
verstanden,Understood
verloren,lost
große,size
hand,hand
grund,reason
jahr,year
kommst,coming
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,think
oben,above
gestern,yesterday
versuchen,to attempt
art,kind
letzten,last
schatz,treasure
endlich,Finally
he,hey
nimm,take
etwa,approximately
erzählt,tells
läuft,running
schwer,heavy
anders,different
miss,ill
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tries
gekommen,came
geschichte,story
wenig,little
holen,to fetch
bedeutet,means
nett,kind
wahrheit,truth
woche,week
bringt,brings
deshalb,that's why
welche,Which
bestimmt,certainly
hoch,high
alter,Age
sagst,say
schau,show
ah,Ah
land,country
zimmer,room
wagen,dare
vier,four
gefallen,like
spaß,fun
niemals,No way
schuld,fault
getötet,killed
wollten,wanted to
verlassen,leave
zeigen,demonstrate
beste,best
ernst,serious
unserer,our
denen,to those
ort,place
bleibt,remains
würdest,would
manchmal,sometimes
glaubst,think
seite,page
lasst,leaves
zwischen,between
eben,just
während,while
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,girlfriend
krieg,war
gefällt,like
kleinen,small
erzählen,tell
anderes,other
tage,days
entschuldigen,to apologize
wichtig,important
gehst,going
allen,all
bett,bed
mrs.,mrs.
sachen,stuff
the,the
schlecht,bad
schule,school
entschuldigung,Sorry
wort,word
john,John
hättest,had
wären,would
typ,Type
schlafen,sleep
äh,um
tu,tu
euer,your
captain,captain
gesicht,face
falls,if
neuen,new
bloß,just
unten,below
teil,part
beiden,both
mensch,man
kleiner,smaller
stellen,put
oft,often
sorge,worry
gedacht,thought
tust,do
trinken,drink
einige,some
dies,this
ding,thing
unseren,our
kriegen,Obtain
blut,blood
ehrlich,honest
eltern,parents
scheint,seems
herz,heart
jack,Jack
glücklich,happy
alte,old
alt,old
bleib,permanent
wiedersehen,meet again
frei,free
wen,whom
drauf,it
möglich,possible
irgendwie,somehow
reicht,enough
fest,firmly
besten,best
waffe,weapon
kaum,barely
irgendwas,anything
klingt,sounds
platz,place
brauchst,need
rede,speech
papa,father
falsch,not correct
sondern,rather
alten,old
nummer,number
früher,earlier
jungen,boys
wohin,where
außer,except
früh,early
setzen,put
zuerst,first
wahrscheinlich,probably
dürfen,allowed to
jede,each
arsch,ass
telefon,phone
tue,do
kennst,know
willkommen,welcome
plan,plan
großen,huge
retten,rescue
hierher,here
wär,would
bring,bring
fehler,error
wollt,want
dollar,dollar
zehn,ten
allem,all
pass,passport
nächste,next
stunde,hour
hände,hands
gegeben,given
menge,quantity
langsam,slowly
bereits,already
wartet,waiting
sechs,six
lieben,love
meines,mine
büro,office
nächsten,next
gebe,give
wochen,weeks
ruf,call
schaffen,create
leider,Unfortunately
scheiß,shit
hölle,hell
trotzdem,Nevertheless
doktor,doctor
tja,tja
new,new
voll,full
film,Movie
überall,all over
hund,dog
geworden,become
direkt,directly
wolltest,wanted
tat,did
denkt,thinks
schiff,ship
neues,new
wem,whom
könig,king
danach,after that
funktioniert,works
hattest,had
lernen,learn
deswegen,therefore
wow,Wow
nennen,call
hm,Hm
feuer,Fire
laufen,to run
alleine,alone
erinnern,recall
völlig,completely
kleines,small
könnt,can
stelle,Job
kumpel,Dude
verlieren,to lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,i
entschuldige,Excuse me
ziehen,pull
verschwinden,disappear
könntest,could
seht,look
aufhören,stop
eigenen,own
richtige,right one
unserem,our
suche,search
zwar,though
groß,big
hol,hol
buch,book
krank,ill
fühle,feel
jedes,each
verstehst,understand
wert,value
arzt,doctor
froh,glad
versuche,tries
straße,Street
rufen,call
heiraten,marry
super,Super
sam,sam
lebt,lives
gutes,good
lasse,leave
onkel,uncle
total,total
gebracht,brought
party,party
erklären,to explain
spielt,plays
wahl,choice
vertrauen,trust
damals,back then
tagen,meet
leicht,light
nachdem,after this
gegangen,went
gefühl,feeling
kaufen,to buy
geschafft,made
typen,types
interessiert,Interested
möchten,want
halte,think
hält,keeps
glaub,think
irgendwo,somewhere
stück,piece
genauso,just like that
kennt,knows
genommen,took
zukunft,future
weniger,fewer
cool,cool
licht,light
getroffen,met
himmel,sky
nachricht,message
drüben,over there
passt,fit
sagten,said
kümmern,To take care of
laut,according to
vergiss,forget
angerufen,called
sitzen,sit
daß,that
erde,earth
großer,greater
schlüssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefängnis,jail
opfer,Victim
körper,body
solche,such
mist,damn
mr,mr
findet,finds
schreiben,write
böse,evil
gesprochen,spoken
versuch,attempt
vorstellen,to introduce
wovon,About what
sobald,as soon as
nochmal,once again
herren,Men's
sex,sex
waffen,weapons
wohnung,flat
weh,sore
heißen,be called
krankenhaus,hospital
bringe,bring
höre,hear
millionen,millions
klasse,great
hart,hard
worden,been
sinn,sense
außerdem,Furthermore
verletzt,injured
ändern,to change
erfahren,Experienced
tragen,wear
wenigstens,at least
vorsichtig,carefully
daddy,daddy
stolz,proud
stark,strongly
fällt,falls
möchtest,want
leuten,people
besonders,especially
schöne,lovely
schicken,send
person,person
schätze,wealth
solange,as long as
länger,longer
großartig,Great
lacht,laughs
anrufen,call
stand,was standing
redest,talking about
fühlen,feel
erwartet,expected
boden,ground
boss,boss
stimme,voice
glaubt,believes
still,quiet
sicherheit,security
setz,translated
ma,ma
mund,mouth
kämpfen,fight
wisst,know
lachen,laugh
hörst,hear
zeug,stuff
lustig,funny
umbringen,kill
sollst,shalt
hasse,hate
schlimm,bad
o,O
unglaublich,incredible
wärst,'d
laden,load
führen,to lead
gestorben,died
schauen,watch
meinung,opinion
lesen,read
mörder,killer
frank,frank
ähm,um
geschehen,done
geschäft,business
idiot,idiot
verzeihung,forgiveness
fliegen,to fly
zeig,show
team,team
general,general
mike,mike
aufs,onto
york,York
vorher,previously
schluss,Enough
schneller,more quickly
liebt,loves
verdient,earned
mögen,to like
meisten,most
denk,thinking
umgebracht,killed
perfekt,Perfect
versprochen,promised
handy,mobile phone
hinten,behind
monate,months
erinnere,remember
acht,eight
arbeitet,is working
fallen,fall
rufe,call
nötig,necessary
a,a
mord,murder
heraus,out
tages,day
unmöglich,impossible
liebling,favorite
charlie,charlie
tatsächlich,indeed
folgen,consequences
bitten,ask
behalten,to keep
nähe,neighborhood
arbeite,working
joe,joe
verdammte,damned
plötzlich,suddenly
lebens,life
hole,get
tisch,table
michael,Michael
hörte,heard
jemals,ever
liegen,lie
verkaufen,to sell
gefährlich,dangerous
anfangen,to begin
bekommt,gets
machte,made
ha,Ha
hotel,hotel
hilft,help
werdet,will
meister,master
kampf,struggle
antwort,answer
konnten,could
geschickt,cleverly
jedem,each
obwohl,even though
sieben,seven
komisch,funny
gewinnen,win
ihres,their
bezahlt,paid
you,you
voller,full of
unterwegs,on road
dumm,stupid
ärger,trouble
bild,picture
george,George
neu,New
bezahlen,pay
dagegen,on the other hand
seien,are
starb,died
tom,tom
monaten,months
leiche,corpse
niemanden,anyone
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pulling
nimmt,takes
gerettet,saved
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,regulate
fenster,window
fangen,to catch
fort,on
ständig,constantly
findest,find
gefahr,danger
absolut,absolutely
mary,mary
augenblick,moment
bescheid,decision
rum,rum
gedanken,thoughts
werd,expectant
ziel,target
benutzt,used
bewegung,Move
jemandem,somebody
wünschte,wish
worte,worte
kamen,came
